obs,icd10,icd10_label,valid_fy,valid_fy,mce_age_condition,mce_sex_condition,cc_age_split,cc_sex_split,cc,second_cc,third_cc,footnote
6309,O2203,"Varicose veins of lower extremity in pregnancy, third trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6310,O2210,"Genital varices in pregnancy, unspecified trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6311,O2211,"Genital varices in pregnancy, first trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6312,O2212,"Genital varices in pregnancy, second trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6313,O2213,"Genital varices in pregnancy, third trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6314,O2220,"Superficial thrombophlebitis in pregnancy, unspecified trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6315,O2221,"Superficial thrombophlebitis in pregnancy, first trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6316,O2222,"Superficial thrombophlebitis in pregnancy, second trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6317,O2223,"Superficial thrombophlebitis in pregnancy, third trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6318,O2230,"Deep phlebothrombosis in pregnancy, unspecified trimester",Y,Y,9 <= age <= 64,,,,210.0,,,4
6319,O2231,"Deep phlebothrombosis in pregnancy, first trimester",Y,Y,9 <= age <= 64,,,,210.0,,,4
6320,O2232,"Deep phlebothrombosis in pregnancy, second trimester",Y,Y,9 <= age <= 64,,,,210.0,,,4
6321,O2233,"Deep phlebothrombosis in pregnancy, third trimester",Y,Y,9 <= age <= 64,,,,210.0,,,4
6322,O2240,"Hemorrhoids in pregnancy, unspecified trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6323,O2241,"Hemorrhoids in pregnancy, first trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6324,O2242,"Hemorrhoids in pregnancy, second trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6325,O2243,"Hemorrhoids in pregnancy, third trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6326,O2250,"Cerebral venous thrombosis in pregnancy, unspecified trimester",Y,Y,9 <= age <= 64,,,,210.0,,,4
6327,O2251,"Cerebral venous thrombosis in pregnancy, first trimester",Y,Y,9 <= age <= 64,,,,210.0,,,4
6328,O2252,"Cerebral venous thrombosis in pregnancy, second trimester",Y,Y,9 <= age <= 64,,,,210.0,,,4
6329,O2253,"Cerebral venous thrombosis in pregnancy, third trimester",Y,Y,9 <= age <= 64,,,,210.0,,,4
6330,O228X1,"Other venous complications in pregnancy, first trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6331,O228X2,"Other venous complications in pregnancy, second trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6332,O228X3,"Other venous complications in pregnancy, third trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6333,O228X9,"Other venous complications in pregnancy, unspecified trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6334,O2290,"Venous complication in pregnancy, unspecified, unspecified trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6335,O2291,"Venous complication in pregnancy, unspecified, first trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6336,O2292,"Venous complication in pregnancy, unspecified, second trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6337,O2293,"Venous complication in pregnancy, unspecified, third trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6338,O2300,"Infections of kidney in pregnancy, unspecified trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6339,O2301,"Infections of kidney in pregnancy, first trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6340,O2302,"Infections of kidney in pregnancy, second trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6341,O2303,"Infections of kidney in pregnancy, third trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6342,O2310,"Infections of bladder in pregnancy, unspecified trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6343,O2311,"Infections of bladder in pregnancy, first trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6344,O2312,"Infections of bladder in pregnancy, second trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6345,O2313,"Infections of bladder in pregnancy, third trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6346,O2320,"Infections of urethra in pregnancy, unspecified trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6347,O2321,"Infections of urethra in pregnancy, first trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6348,O2322,"Infections of urethra in pregnancy, second trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6349,O2323,"Infections of urethra in pregnancy, third trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6350,O2330,"Infections of other parts of urinary tract in pregnancy, unspecified trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6351,O2331,"Infections of other parts of urinary tract in pregnancy, first trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6352,O2332,"Infections of other parts of urinary tract in pregnancy, second trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6353,O2333,"Infections of other parts of urinary tract in pregnancy, third trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6354,O2340,"Unspecified infection of urinary tract in pregnancy, unspecified trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6355,O2341,"Unspecified infection of urinary tract in pregnancy, first trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6356,O2342,"Unspecified infection of urinary tract in pregnancy, second trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6357,O2343,"Unspecified infection of urinary tract in pregnancy, third trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6358,O23511,"Infections of cervix in pregnancy, first trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6359,O23512,"Infections of cervix in pregnancy, second trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6360,O23513,"Infections of cervix in pregnancy, third trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6361,O23519,"Infections of cervix in pregnancy, unspecified trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6362,O23521,"Salpingo-oophoritis in pregnancy, first trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6363,O23522,"Salpingo-oophoritis in pregnancy, second trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6364,O23523,"Salpingo-oophoritis in pregnancy, third trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6365,O23529,"Salpingo-oophoritis in pregnancy, unspecified trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6366,O23591,"Infection of other part of genital tract in pregnancy, first trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6367,O23592,"Infection of other part of genital tract in pregnancy, second trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6368,O23593,"Infection of other part of genital tract in pregnancy, third trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6369,O23599,"Infection of other part of genital tract in pregnancy, unspecified trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6370,O2390,"Unspecified genitourinary tract infection in pregnancy, unspecified trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6371,O2391,"Unspecified genitourinary tract infection in pregnancy, first trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6372,O2392,"Unspecified genitourinary tract infection in pregnancy, second trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6373,O2393,"Unspecified genitourinary tract infection in pregnancy, third trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6374,O24011,"Pre-existing type 1 diabetes mellitus, in pregnancy, first trimester",Y,Y,9 <= age <= 64,,,,211.0,,,4
6375,O24012,"Pre-existing type 1 diabetes mellitus, in pregnancy, second trimester",Y,Y,9 <= age <= 64,,,,211.0,,,4
6376,O24013,"Pre-existing type 1 diabetes mellitus, in pregnancy, third trimester",Y,Y,9 <= age <= 64,,,,211.0,,,4
6377,O24019,"Pre-existing type 1 diabetes mellitus, in pregnancy, unspecified trimester",Y,Y,9 <= age <= 64,,,,211.0,,,4
6378,O2402,"Pre-existing type 1 diabetes mellitus, in childbirth",Y,Y,9 <= age <= 64,,,,208.0,,,4
6379,O2403,"Pre-existing type 1 diabetes mellitus, in the puerperium",Y,Y,9 <= age <= 64,,,,208.0,,,4
6380,O24111,"Pre-existing type 2 diabetes mellitus, in pregnancy, first trimester",Y,Y,9 <= age <= 64,,,,211.0,,,4
6381,O24112,"Pre-existing type 2 diabetes mellitus, in pregnancy, second trimester",Y,Y,9 <= age <= 64,,,,211.0,,,4
6382,O24113,"Pre-existing type 2 diabetes mellitus, in pregnancy, third trimester",Y,Y,9 <= age <= 64,,,,211.0,,,4
6383,O24119,"Pre-existing type 2 diabetes mellitus, in pregnancy, unspecified trimester",Y,Y,9 <= age <= 64,,,,211.0,,,4
6384,O2412,"Pre-existing type 2 diabetes mellitus, in childbirth",Y,Y,9 <= age <= 64,,,,208.0,,,4
6385,O2413,"Pre-existing type 2 diabetes mellitus, in the puerperium",Y,Y,9 <= age <= 64,,,,208.0,,,4
6386,O24311,"Unspecified pre-existing diabetes mellitus in pregnancy, first trimester",Y,Y,9 <= age <= 64,,,,211.0,,,4
6387,O24312,"Unspecified pre-existing diabetes mellitus in pregnancy, second trimester",Y,Y,9 <= age <= 64,,,,211.0,,,4
6388,O24313,"Unspecified pre-existing diabetes mellitus in pregnancy, third trimester",Y,Y,9 <= age <= 64,,,,211.0,,,4
6389,O24319,"Unspecified pre-existing diabetes mellitus in pregnancy, unspecified trimester",Y,Y,9 <= age <= 64,,,,211.0,,,4
6390,O2432,Unspecified pre-existing diabetes mellitus in childbirth,Y,Y,9 <= age <= 64,,,,208.0,,,4
6391,O2433,Unspecified pre-existing diabetes mellitus in the puerperium,Y,Y,9 <= age <= 64,,,,208.0,,,4
6392,O24410,"Gestational diabetes mellitus in pregnancy, diet controlled",Y,Y,9 <= age <= 64,,,,212.0,,,4
6393,O24414,"Gestational diabetes mellitus in pregnancy, insulin controlled",Y,Y,9 <= age <= 64,,,,212.0,,,4
6394,O24415,"Gestational diabetes mellitus in pregnancy, controlled by oral hypoglycemic drugs",Y,Y,9 <= age <= 64,,,,212.0,,,4
6395,O24419,"Gestational diabetes mellitus in pregnancy, unspecified control",Y,Y,9 <= age <= 64,,,,212.0,,,4
6396,O24420,"Gestational diabetes mellitus in childbirth, diet controlled",Y,Y,9 <= age <= 64,,,,209.0,,,4
6397,O24424,"Gestational diabetes mellitus in childbirth, insulin controlled",Y,Y,9 <= age <= 64,,,,209.0,,,4
6398,O24425,"Gestational diabetes mellitus in childbirth, controlled by oral hypoglycemic drugs",Y,Y,9 <= age <= 64,,,,209.0,,,4
6399,O24429,"Gestational diabetes mellitus in childbirth, unspecified control",Y,Y,9 <= age <= 64,,,,209.0,,,4
6400,O24430,"Gestational diabetes mellitus in the puerperium, diet controlled",Y,Y,9 <= age <= 64,,,,209.0,,,4
6401,O24434,"Gestational diabetes mellitus in the puerperium, insulin controlled",Y,Y,9 <= age <= 64,,,,209.0,,,4
6402,O24435,"Gestational diabetes mellitus in puerperium, controlled by oral hypoglycemic drugs",Y,Y,9 <= age <= 64,,,,209.0,,,4
6403,O24439,"Gestational diabetes mellitus in the puerperium, unspecified control",Y,Y,9 <= age <= 64,,,,209.0,,,4
6404,O24811,"Other pre-existing diabetes mellitus in pregnancy, first trimester",Y,Y,9 <= age <= 64,,,,211.0,,,4
6405,O24812,"Other pre-existing diabetes mellitus in pregnancy, second trimester",Y,Y,9 <= age <= 64,,,,211.0,,,4
6406,O24813,"Other pre-existing diabetes mellitus in pregnancy, third trimester",Y,Y,9 <= age <= 64,,,,211.0,,,4
6407,O24819,"Other pre-existing diabetes mellitus in pregnancy, unspecified trimester",Y,Y,9 <= age <= 64,,,,211.0,,,4
6408,O2482,Other pre-existing diabetes mellitus in childbirth,Y,Y,9 <= age <= 64,,,,208.0,,,4
6409,O2483,Other pre-existing diabetes mellitus in the puerperium,Y,Y,9 <= age <= 64,,,,208.0,,,4
6410,O24911,"Unspecified diabetes mellitus in pregnancy, first trimester",Y,Y,9 <= age <= 64,,,,211.0,,,4
6411,O24912,"Unspecified diabetes mellitus in pregnancy, second trimester",Y,Y,9 <= age <= 64,,,,211.0,,,4
6412,O24913,"Unspecified diabetes mellitus in pregnancy, third trimester",Y,Y,9 <= age <= 64,,,,211.0,,,4
6413,O24919,"Unspecified diabetes mellitus in pregnancy, unspecified trimester",Y,Y,9 <= age <= 64,,,,211.0,,,4
6414,O2492,Unspecified diabetes mellitus in childbirth,Y,Y,9 <= age <= 64,,,,208.0,,,4
6415,O2493,Unspecified diabetes mellitus in the puerperium,Y,Y,9 <= age <= 64,,,,208.0,,,4
6416,O2510,"Malnutrition in pregnancy, unspecified trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6417,O2511,"Malnutrition in pregnancy, first trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6418,O2512,"Malnutrition in pregnancy, second trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6419,O2513,"Malnutrition in pregnancy, third trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6420,O252,Malnutrition in childbirth,Y,Y,9 <= age <= 64,,,,209.0,,,4
6421,O253,Malnutrition in the puerperium,Y,Y,9 <= age <= 64,,,,209.0,,,4
6422,O2600,"Excessive weight gain in pregnancy, unspecified trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6423,O2601,"Excessive weight gain in pregnancy, first trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6424,O2602,"Excessive weight gain in pregnancy, second trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6425,O2603,"Excessive weight gain in pregnancy, third trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6426,O2610,"Low weight gain in pregnancy, unspecified trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6427,O2611,"Low weight gain in pregnancy, first trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6428,O2612,"Low weight gain in pregnancy, second trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6429,O2613,"Low weight gain in pregnancy, third trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6430,O2620,"Pregnancy care for patient with recurrent pregnancy loss, unspecified trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6431,O2621,"Pregnancy care for patient with recurrent pregnancy loss, first trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6432,O2622,"Pregnancy care for patient with recurrent pregnancy loss, second trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6433,O2623,"Pregnancy care for patient with recurrent pregnancy loss, third trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6434,O2630,"Retained intrauterine contraceptive device in pregnancy, unspecified trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6435,O2631,"Retained intrauterine contraceptive device in pregnancy, first trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6436,O2632,"Retained intrauterine contraceptive device in pregnancy, second trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6437,O2633,"Retained intrauterine contraceptive device in pregnancy, third trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6438,O2640,"Herpes gestationis, unspecified trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6439,O2641,"Herpes gestationis, first trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6440,O2642,"Herpes gestationis, second trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6441,O2643,"Herpes gestationis, third trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6442,O2650,"Maternal hypotension syndrome, unspecified trimester",Y,Y,9 <= age <= 64,,,,211.0,,,4
6443,O2651,"Maternal hypotension syndrome, first trimester",Y,Y,9 <= age <= 64,,,,211.0,,,4
6444,O2652,"Maternal hypotension syndrome, second trimester",Y,Y,9 <= age <= 64,,,,211.0,,,4
6445,O2653,"Maternal hypotension syndrome, third trimester",Y,Y,9 <= age <= 64,,,,211.0,,,4
6446,O26611,"Liver and biliary tract disorders in pregnancy, first trimester",Y,Y,9 <= age <= 64,,,,211.0,,,4
6447,O26612,"Liver and biliary tract disorders in pregnancy, second trimester",Y,Y,9 <= age <= 64,,,,211.0,,,4
6448,O26613,"Liver and biliary tract disorders in pregnancy, third trimester",Y,Y,9 <= age <= 64,,,,211.0,,,4
6449,O26619,"Liver and biliary tract disorders in pregnancy, unspecified trimester",Y,Y,9 <= age <= 64,,,,211.0,,,4
6450,O2662,Liver and biliary tract disorders in childbirth,Y,Y,9 <= age <= 64,,,,208.0,,,4
6451,O2663,Liver and biliary tract disorders in the puerperium,Y,Y,9 <= age <= 64,,,,208.0,,,4
6452,O26641,"Intrahepatic cholestasis of pregnancy, first trimester",Y,Y,9 <= age <= 64,,,,211.0,,,4
6453,O26642,"Intrahepatic cholestasis of pregnancy, second trimester",Y,Y,9 <= age <= 64,,,,211.0,,,4
6454,O26643,"Intrahepatic cholestasis of pregnancy, third trimester",Y,Y,9 <= age <= 64,,,,211.0,,,4
6455,O26649,"Intrahepatic cholestasis of pregnancy, unspecified trimester",Y,Y,9 <= age <= 64,,,,211.0,,,4
6456,O26711,"Subluxation of symphysis (pubis) in pregnancy, first trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6457,O26712,"Subluxation of symphysis (pubis) in pregnancy, second trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6458,O26713,"Subluxation of symphysis (pubis) in pregnancy, third trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6459,O26719,"Subluxation of symphysis (pubis) in pregnancy, unspecified trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6460,O2672,Subluxation of symphysis (pubis) in childbirth,Y,Y,9 <= age <= 64,,,,209.0,,,4
6461,O2673,Subluxation of symphysis (pubis) in the puerperium,Y,Y,9 <= age <= 64,,,,209.0,,,4
6462,O26811,"Pregnancy related exhaustion and fatigue, first trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6463,O26812,"Pregnancy related exhaustion and fatigue, second trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6464,O26813,"Pregnancy related exhaustion and fatigue, third trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6465,O26819,"Pregnancy related exhaustion and fatigue, unspecified trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6466,O26821,"Pregnancy related peripheral neuritis, first trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6467,O26822,"Pregnancy related peripheral neuritis, second trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6468,O26823,"Pregnancy related peripheral neuritis, third trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6469,O26829,"Pregnancy related peripheral neuritis, unspecified trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6470,O26831,"Pregnancy related renal disease, first trimester",Y,Y,9 <= age <= 64,,,,211.0,,,4
6471,O26832,"Pregnancy related renal disease, second trimester",Y,Y,9 <= age <= 64,,,,211.0,,,4
6472,O26833,"Pregnancy related renal disease, third trimester",Y,Y,9 <= age <= 64,,,,211.0,,,4
6473,O26839,"Pregnancy related renal disease, unspecified trimester",Y,Y,9 <= age <= 64,,,,211.0,,,4
6474,O26841,"Uterine size-date discrepancy, first trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6475,O26842,"Uterine size-date discrepancy, second trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6476,O26843,"Uterine size-date discrepancy, third trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6477,O26849,"Uterine size-date discrepancy, unspecified trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6478,O26851,"Spotting complicating pregnancy, first trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6479,O26852,"Spotting complicating pregnancy, second trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6480,O26853,"Spotting complicating pregnancy, third trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6481,O26859,"Spotting complicating pregnancy, unspecified trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6482,O2686,Pruritic urticarial papules and plaques of pregnancy (PUPPP),Y,Y,9 <= age <= 64,,,,212.0,,,4
6483,O26872,"Cervical shortening, second trimester",Y,Y,9 <= age <= 64,,,,210.0,,,4
6484,O26873,"Cervical shortening, third trimester",Y,Y,9 <= age <= 64,,,,210.0,,,4
6485,O26879,"Cervical shortening, unspecified trimester",Y,Y,9 <= age <= 64,,,,210.0,,,4
6486,O26891,"Other specified pregnancy related conditions, first trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6487,O26892,"Other specified pregnancy related conditions, second trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6488,O26893,"Other specified pregnancy related conditions, third trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6489,O26899,"Other specified pregnancy related conditions, unspecified trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6490,O2690,"Pregnancy related conditions, unspecified, unspecified trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6491,O2691,"Pregnancy related conditions, unspecified, first trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6492,O2692,"Pregnancy related conditions, unspecified, second trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6493,O2693,"Pregnancy related conditions, unspecified, third trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6494,O29011,"Aspiration pneumonitis due to anesthesia during pregnancy, first trimester",Y,Y,9 <= age <= 64,,,,210.0,,,4
6495,O29012,"Aspiration pneumonitis due to anesthesia during pregnancy, second trimester",Y,Y,9 <= age <= 64,,,,210.0,,,4
6496,O29013,"Aspiration pneumonitis due to anesthesia during pregnancy, third trimester",Y,Y,9 <= age <= 64,,,,210.0,,,4
6497,O29019,"Aspiration pneumonitis due to anesthesia during pregnancy, unspecified trimester",Y,Y,9 <= age <= 64,,,,210.0,,,4
6498,O29021,"Pressure collapse of lung due to anesthesia during pregnancy, first trimester",Y,Y,9 <= age <= 64,,,,210.0,,,4
6499,O29022,"Pressure collapse of lung due to anesthesia during pregnancy, second trimester",Y,Y,9 <= age <= 64,,,,210.0,,,4
6500,O29023,"Pressure collapse of lung due to anesthesia during pregnancy, third trimester",Y,Y,9 <= age <= 64,,,,210.0,,,4
6501,O29029,"Pressure collapse of lung due to anesthesia during pregnancy, unspecified trimester",Y,Y,9 <= age <= 64,,,,210.0,,,4
6502,O29091,"Other pulmonary complications of anesthesia during pregnancy, first trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6503,O29092,"Other pulmonary complications of anesthesia during pregnancy, second trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6504,O29093,"Other pulmonary complications of anesthesia during pregnancy, third trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6505,O29099,"Other pulmonary complications of anesthesia during pregnancy, unspecified trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6506,O29111,"Cardiac arrest due to anesthesia during pregnancy, first trimester",Y,Y,9 <= age <= 64,,,,210.0,,,4
6507,O29112,"Cardiac arrest due to anesthesia during pregnancy, second trimester",Y,Y,9 <= age <= 64,,,,210.0,,,4
6508,O29113,"Cardiac arrest due to anesthesia during pregnancy, third trimester",Y,Y,9 <= age <= 64,,,,210.0,,,4
6509,O29119,"Cardiac arrest due to anesthesia during pregnancy, unspecified trimester",Y,Y,9 <= age <= 64,,,,210.0,,,4
6510,O29121,"Cardiac failure due to anesthesia during pregnancy, first trimester",Y,Y,9 <= age <= 64,,,,210.0,,,4
6511,O29122,"Cardiac failure due to anesthesia during pregnancy, second trimester",Y,Y,9 <= age <= 64,,,,210.0,,,4
6512,O29123,"Cardiac failure due to anesthesia during pregnancy, third trimester",Y,Y,9 <= age <= 64,,,,210.0,,,4
6513,O29129,"Cardiac failure due to anesthesia during pregnancy, unspecified trimester",Y,Y,9 <= age <= 64,,,,210.0,,,4
6514,O29191,"Other cardiac complications of anesthesia during pregnancy, first trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6515,O29192,"Other cardiac complications of anesthesia during pregnancy, second trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6516,O29193,"Other cardiac complications of anesthesia during pregnancy, third trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6517,O29199,"Other cardiac complications of anesthesia during pregnancy, unspecified trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6518,O29211,"Cerebral anoxia due to anesthesia during pregnancy, first trimester",Y,Y,9 <= age <= 64,,,,210.0,,,4
6519,O29212,"Cerebral anoxia due to anesthesia during pregnancy, second trimester",Y,Y,9 <= age <= 64,,,,210.0,,,4
6520,O29213,"Cerebral anoxia due to anesthesia during pregnancy, third trimester",Y,Y,9 <= age <= 64,,,,210.0,,,4
6521,O29219,"Cerebral anoxia due to anesthesia during pregnancy, unspecified trimester",Y,Y,9 <= age <= 64,,,,210.0,,,4
6522,O29291,"Other central nervous system complications of anesthesia during pregnancy, first trimester",Y,Y,9 <= age <= 64,,,,210.0,,,4
6523,O29292,"Other central nervous system complications of anesthesia during pregnancy, second trimester",Y,Y,9 <= age <= 64,,,,210.0,,,4
6524,O29293,"Other central nervous system complications of anesthesia during pregnancy, third trimester",Y,Y,9 <= age <= 64,,,,210.0,,,4
6525,O29299,"Other central nervous system complications of anesthesia during pregnancy, unspecified trimester",Y,Y,9 <= age <= 64,,,,210.0,,,4
6526,O293X1,"Toxic reaction to local anesthesia during pregnancy, first trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6527,O293X2,"Toxic reaction to local anesthesia during pregnancy, second trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6528,O293X3,"Toxic reaction to local anesthesia during pregnancy, third trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6529,O293X9,"Toxic reaction to local anesthesia during pregnancy, unspecified trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6530,O2940,"Spinal and epidural anesthesia induced headache during pregnancy, unspecified trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6531,O2941,"Spinal and epidural anesthesia induced headache during pregnancy, first trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6532,O2942,"Spinal and epidural anesthesia induced headache during pregnancy, second trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6533,O2943,"Spinal and epidural anesthesia induced headache during pregnancy, third trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6534,O295X1,"Other complications of spinal and epidural anesthesia during pregnancy, first trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6535,O295X2,"Other complications of spinal and epidural anesthesia during pregnancy, second trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6536,O295X3,"Other complications of spinal and epidural anesthesia during pregnancy, third trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6537,O295X9,"Other complications of spinal and epidural anesthesia during pregnancy, unspecified trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6538,O2960,"Failed or difficult intubation for anesthesia during pregnancy, unspecified trimester",Y,Y,9 <= age <= 64,,,,210.0,,,4
6539,O2961,"Failed or difficult intubation for anesthesia during pregnancy, first trimester",Y,Y,9 <= age <= 64,,,,210.0,,,4
6540,O2962,"Failed or difficult intubation for anesthesia during pregnancy, second trimester",Y,Y,9 <= age <= 64,,,,210.0,,,4
6541,O2963,"Failed or difficult intubation for anesthesia during pregnancy, third trimester",Y,Y,9 <= age <= 64,,,,210.0,,,4
6542,O298X1,"Other complications of anesthesia during pregnancy, first trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
6543,O298X2,"Other complications of anesthesia during pregnancy, second trimester",Y,Y,9 <= age <= 64,,,,212.0,,,4
